function,args,kwargs
sklearn.cluster.kmeans_plusplus,X,"n_clusters=4, random_state=0"
sklearn.datasets.load_sample_image,china.jpg,
sklearn.utils.shuffle,image_array,"n_samples=1000, random_state=0"
sklearn.cluster._kmeans._BaseKMeans.predict,image_array,
sklearn.utils.shuffle,image_array,"n_samples=n_colors, random_state=0"
sklearn.metrics.pairwise_distances_argmin,"codebook_random, image_array",axis=0
sklearn.cluster.KMeans,,"n_clusters=n_colors, n_init=auto, random_state=0"
sklearn.datasets.make_circles,,"factor=0.5, n_samples=n_samples, noise=0.05"
sklearn.datasets.make_moons,,"n_samples=n_samples, noise=0.05"
sklearn.datasets.make_blobs,,"n_samples=n_samples, random_state=8"
sklearn.datasets.make_blobs,,"n_samples=n_samples, random_state=random_state"
sklearn.datasets.make_blobs,,"cluster_std=**, n_samples=n_samples, random_state=random_state"
sklearn.base.TransformerMixin.fit_transform,X,
sklearn.cluster.estimate_bandwidth,X,quantile=**
sklearn.cluster.MeanShift,,"bandwidth=bandwidth, bin_seeding=True"
sklearn.cluster.MiniBatchKMeans,,"n_clusters=**, n_init=auto"
sklearn.cluster.AgglomerativeClustering,,"connectivity=connectivity, linkage=ward, n_clusters=**"
sklearn.cluster.SpectralClustering,,"affinity=nearest_neighbors, eigen_solver=arpack, n_clusters=**"
sklearn.cluster.DBSCAN,,eps=**
sklearn.cluster,,"allow_single_cluster=**, min_cluster_size=**, min_samples=**"
sklearn.cluster,,"min_cluster_size=**, min_samples=**, xi=**"
sklearn.cluster,,"damping=**, preference=**, random_state=0"
sklearn.cluster.AgglomerativeClustering,,"connectivity=connectivity, linkage=average, metric=cityblock, n_clusters=**"
sklearn.cluster.Birch,,n_clusters=**
sklearn.mixture.GaussianMixture,,"covariance_type=full, n_components=**"
sklearn.preprocessing.StandardScaler,,
sklearn.cluster._agglomerative.AgglomerativeClustering,X,
sklearn.cluster._agglomerative.AgglomerativeClustering,int,
sklearn.datasets.load_digits,,
sklearn.feature_extraction.image.grid_to_graph,**,
sklearn.cluster.FeatureAgglomeration,,"connectivity=connectivity, n_clusters=32"
sklearn.cluster._agglomerative.FeatureAgglomeration.fit,X,
sklearn.cluster._agglomerative.FeatureAgglomeration,X,
sklearn.cluster._feature_agglomeration.AgglomerationTransform.inverse_transform,X_reduced,
sklearn.datasets.make_blobs,,"centers=n_centers, n_samples=25000, random_state=0"
sklearn.cluster.MiniBatchKMeans,,"batch_size=**, init=k-means++, max_no_improvement=10, n_clusters=100, n_init=10, random_state=0, verbose=0"
sklearn.cluster._kmeans.MiniBatchKMeans.fit,X,
sklearn.cluster.Birch,,"n_clusters=None, threshold=1.7"
sklearn.cluster.Birch,,"n_clusters=100, threshold=1.7"
sklearn.cluster.AgglomerativeClustering,,"linkage=average, metric=metric, n_clusters=n_clusters"
sklearn.cluster._agglomerative.AgglomerativeClustering.fit,X,
sklearn.feature_extraction.image.img_to_graph,img,mask=mask
sklearn.cluster.spectral_clustering,graph,"eigen_solver=arpack, n_clusters=4"
sklearn.feature_extraction.image.img_to_graph,img,mask=mask
sklearn.cluster.spectral_clustering,graph,"eigen_solver=arpack, n_clusters=2"
sklearn.datasets.make_blobs,,"centers=centers, cluster_std=0.7, n_samples=3000"
sklearn.cluster.KMeans,,"init=k-means++, n_clusters=3, n_init=10"
sklearn.cluster._kmeans.KMeans.fit,X,
sklearn.cluster.MiniBatchKMeans,,"batch_size=batch_size, init=k-means++, max_no_improvement=10, n_clusters=3, n_init=10, verbose=0"
sklearn.cluster._kmeans.MiniBatchKMeans.fit,X,
sklearn.metrics.pairwise.pairwise_distances_argmin,"**, **",
sklearn.metrics.pairwise.pairwise_distances_argmin,"X, k_means_cluster_centers",
sklearn.metrics.pairwise.pairwise_distances_argmin,"X, mbk_means_cluster_centers",
sklearn.datasets.make_blobs,,"centers=centers, cluster_std=0.6, n_samples=10000"
sklearn.cluster.estimate_bandwidth,X,"n_samples=500, quantile=0.2"
sklearn.cluster.MeanShift,,"bandwidth=bandwidth, bin_seeding=True"
sklearn.cluster._mean_shift.MeanShift.fit,X,
sklearn.datasets.fetch_olivetti_faces,,
sklearn.cluster.MiniBatchKMeans,,"n_clusters=81, n_init=3, random_state=rng, verbose=True"
sklearn.feature_extraction.image.extract_patches_2d,"img, patch_size","max_patches=50, random_state=rng"
sklearn.cluster._kmeans.MiniBatchKMeans.partial_fit,data,
sklearn.feature_extraction.image.img_to_graph,rescaled_coins,
sklearn.cluster.spectral_clustering,graph,"assign_labels=assign_labels, eigen_tol=1e-07, n_clusters=**, random_state=42"
sklearn.datasets.make_swiss_roll,n_samples,noise=noise
sklearn.neighbors.kneighbors_graph,X,"include_self=False, n_neighbors=10"
sklearn.cluster.AgglomerativeClustering,,"linkage=ward, n_clusters=6"
sklearn.cluster.AgglomerativeClustering,,"connectivity=connectivity, linkage=ward, n_clusters=6"
sklearn.datasets.load_iris,,
sklearn.cluster.KMeans,,"n_clusters=8, n_init=auto"
sklearn.cluster.KMeans,,"n_clusters=3, n_init=auto"
sklearn.cluster.KMeans,,"init=random, n_clusters=3, n_init=1"
sklearn.preprocessing.KBinsDiscretizer,,"encode=ordinal, n_bins=n_bins, random_state=0, strategy=uniform"
sklearn.preprocessing.KBinsDiscretizer,,"encode=ordinal, n_bins=n_bins, random_state=0, strategy=kmeans"
sklearn.base.TransformerMixin.fit_transform,**,
sklearn.base.TransformerMixin.fit_transform,**,
sklearn.datasets.make_blobs,,"center_box=**, centers=4, cluster_std=1, n_features=2, n_samples=500, random_state=1, shuffle=True"
sklearn.cluster.KMeans,,"n_clusters=n_clusters, n_init=auto, random_state=10"
sklearn.cluster._kmeans.KMeans,X,
sklearn.metrics.silhouette_score,"X, cluster_labels",
sklearn.metrics.silhouette_samples,"X, cluster_labels",
sklearn.neighbors.kneighbors_graph,"X, 30",include_self=False
sklearn.cluster.AgglomerativeClustering,,"connectivity=connectivity, linkage=linkage, n_clusters=n_clusters"
sklearn.utils.check_random_state,random_state,
sklearn.utils.shuffle,"X, y",random_state=random_state
sklearn.cluster.MiniBatchKMeans,,"init=random, n_clusters=n_clusters, n_init=1, random_state=random_state"
sklearn.datasets.load_digits,,return_X_y=True
sklearn.cluster.KMeans,,"init=k-means++, n_clusters=n_digits, n_init=4, random_state=0"
sklearn.cluster.KMeans,,"init=random, n_clusters=n_digits, n_init=4, random_state=0"
sklearn.decomposition._pca.PCA.fit,data,
sklearn.cluster.KMeans,,"init=**, n_clusters=n_digits, n_init=1"
sklearn.decomposition._pca.PCA.fit_transform,data,
sklearn.cluster.KMeans,,"init=k-means++, n_clusters=n_digits, n_init=4"
sklearn.cluster._kmeans.KMeans.fit,reduced_data,
sklearn.cluster._kmeans._BaseKMeans.predict,**,
sklearn.cluster._kmeans.KMeans,data,
sklearn.metrics.cluster._supervised.homogeneity_score,"labels, **",
sklearn.metrics.silhouette_score,"data, **","metric=euclidean, sample_size=300"
sklearn.decomposition.PCA,,n_components=n_digits
sklearn.decomposition.PCA,,n_components=2
sklearn.pipeline.make_pipeline,"**, kmeans",
sklearn.cluster._kmeans.KMeans,,
sklearn.cluster._kmeans.KMeans,,
sklearn.datasets.make_blobs,,"n_samples=n_samples, random_state=random_state"
sklearn.cluster._kmeans._BaseKMeans.fit_predict,X,
sklearn.cluster._kmeans._BaseKMeans.fit_predict,X_aniso,
sklearn.cluster._kmeans._BaseKMeans.fit_predict,X_varied,
sklearn.cluster._kmeans._BaseKMeans.fit_predict,X_filtered,
sklearn.cluster._kmeans._BaseKMeans.fit_predict,X,
sklearn.cluster._kmeans._BaseKMeans.fit_predict,X_filtered,
sklearn.mixture._base.BaseMixture.fit_predict,X_aniso,
sklearn.mixture._base.BaseMixture.fit_predict,X_varied,
sklearn.cluster.KMeans,,"n_clusters=2, **common_params"
sklearn.cluster.KMeans,,"n_clusters=3, **common_params"
sklearn.cluster.KMeans,,"n_clusters=3, **common_params"
sklearn.cluster.KMeans,,"n_clusters=3, **common_params"
sklearn.cluster.KMeans,,"n_clusters=3, **common_params"
sklearn.cluster.KMeans,,"n_clusters=3, n_init=10, random_state=random_state"
sklearn.mixture.GaussianMixture,,n_components=3
sklearn.mixture.GaussianMixture,,n_components=3
sklearn.feature_extraction.image.grid_to_graph,**,
sklearn.cluster.AgglomerativeClustering,,"connectivity=connectivity, linkage=ward, n_clusters=n_clusters"
sklearn.cluster._agglomerative.AgglomerativeClustering.fit,X,
sklearn.base.TransformerMixin.fit_transform,X,
sklearn.cluster._dbscan.DBSCAN.fit,X,
sklearn.preprocessing.StandardScaler,,
sklearn.cluster.DBSCAN,,"eps=0.3, min_samples=10"
sklearn.metrics.homogeneity_score,"labels_true, labels",
sklearn.metrics.completeness_score,"labels_true, labels",
sklearn.metrics.v_measure_score,"labels_true, labels",
sklearn.metrics.adjusted_rand_score,"labels_true, labels",
sklearn.metrics.adjusted_mutual_info_score,"labels_true, labels",
sklearn.metrics,"X, labels",
sklearn.datasets.load_iris,,
sklearn.cluster.AgglomerativeClustering,,"distance_threshold=0, n_clusters=None"
sklearn.cluster._agglomerative.AgglomerativeClustering,X,
sklearn.cluster.OPTICS,,"min_cluster_size=0.05, min_samples=50, xi=0.05"
sklearn.cluster._optics.OPTICS.fit,X,
sklearn.cluster.cluster_optics_dbscan,,"core_distances=**, eps=0.5, ordering=**, reachability=**"
sklearn.cluster.cluster_optics_dbscan,,"core_distances=**, eps=2, ordering=**, reachability=**"
sklearn.datasets.load_breast_cancer,,return_X_y=True
sklearn.utils.shuffle,"X, y",random_state=42
sklearn.svm.SVC,,"gamma=0.001, probability=True, random_state=42"
sklearn.semi_supervised.SelfTrainingClassifier,base_classifier,threshold=threshold
sklearn.model_selection.StratifiedKFold,,n_splits=n_splits
sklearn.semi_supervised._self_training.SelfTrainingClassifier.fit,"X_train, y_train",
sklearn.semi_supervised._self_training.SelfTrainingClassifier,X_test,
sklearn.metrics.accuracy_score,"y_test_true, y_pred",
sklearn.datasets.make_circles,,"n_samples=n_samples, shuffle=False"
sklearn.semi_supervised.LabelSpreading,,"alpha=0.8, kernel=knn"
sklearn.semi_supervised._label_propagation.BaseLabelPropagation.fit,"X, labels",
sklearn.datasets.load_digits,,
sklearn.semi_supervised.LabelSpreading,,"gamma=0.25, max_iter=20"
sklearn.semi_supervised._label_propagation.BaseLabelPropagation.fit,"X, y_train",
sklearn.metrics.confusion_matrix,"true_labels, predicted_labels",labels=**
sklearn.metrics.classification_report,"true_labels, predicted_labels",
sklearn.datasets.fetch_20newsgroups,,"categories=**, subset=train"
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline.predict,X_test,
sklearn.feature_extraction.text.CountVectorizer,,**vectorizer_params
sklearn.linear_model.SGDClassifier,,**sdg_params
sklearn.feature_extraction.text.CountVectorizer,,**vectorizer_params
sklearn.semi_supervised.SelfTrainingClassifier,**,verbose=True
sklearn.feature_extraction.text.CountVectorizer,,**vectorizer_params
sklearn.preprocessing.FunctionTransformer,**,
sklearn.metrics.f1_score,"y_test, y_pred",average=micro
sklearn.semi_supervised.SelfTrainingClassifier,,**sdg_params
sklearn.datasets.load_iris,,
sklearn.svm.SVC,,"gamma=0.5, kernel=rbf, probability=True"
sklearn.semi_supervised._label_propagation.BaseLabelPropagation.fit,"X, y_30",
sklearn.semi_supervised._label_propagation.BaseLabelPropagation.fit,"X, y_50",
sklearn.semi_supervised._label_propagation.LabelSpreading,"X, y",
sklearn.semi_supervised._self_training.SelfTrainingClassifier.fit,"X, y_30",
sklearn.semi_supervised._self_training.SelfTrainingClassifier.fit,"X, y_50",
sklearn.semi_supervised._self_training.SelfTrainingClassifier.predict,**,
sklearn.semi_supervised.LabelSpreading,,
sklearn.semi_supervised.LabelSpreading,,
sklearn.semi_supervised.LabelSpreading,,
sklearn.semi_supervised.SelfTrainingClassifier,base_classifier,
sklearn.semi_supervised.SelfTrainingClassifier,base_classifier,
sklearn.svm.SVC,,"gamma=0.5, kernel=rbf"
sklearn.datasets.load_digits,,
sklearn.semi_supervised.LabelSpreading,,"gamma=0.25, max_iter=20"
sklearn.semi_supervised._label_propagation.BaseLabelPropagation.fit,"X, y_train",
sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay.from_predictions,"true_labels, predicted_labels",labels=**
sklearn.metrics.classification_report,"true_labels, predicted_labels",
sklearn.datasets.fetch_covtype,,return_X_y=True
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.Pipeline.fit_transform,X_train,
sklearn.pipeline.Pipeline.transform,X_test,
sklearn.svm.LinearSVC,,dual=auto
sklearn.svm._classes.LinearSVC.fit,"X_train, y_train",
sklearn.svm.SVC,,"C=500.0, coef0=0, degree=4, gamma=1.0, kernel=poly"
sklearn.svm._base.BaseLibSVM.fit,"X_train, y_train",
sklearn.pipeline.make_pipeline,,
sklearn.pipeline.make_pipeline,,
sklearn.base.ClassifierMixin.score,"X_test, y_test",
sklearn.base.ClassifierMixin.score,"X_test, y_test",
sklearn.pipeline.Pipeline,"**, **",
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.kernel_approximation.PolynomialCountSketch,,"degree=4, n_components=n_components"
sklearn.svm.LinearSVC,,dual=auto
sklearn.datasets.make_blobs,,"centers=centers, n_samples=n_samples, random_state=42, shuffle=False"
sklearn.naive_bayes.GaussianNB,,
sklearn.naive_bayes.GaussianNB.fit,"X_train, y_train",
sklearn.calibration.CalibratedClassifierCV,clf,"cv=2, method=isotonic"
sklearn.calibration.CalibratedClassifierCV.fit,"X_train, y_train",sample_weight=sw_train
sklearn.calibration.CalibratedClassifierCV,clf,"cv=2, method=sigmoid"
sklearn.calibration.CalibratedClassifierCV.fit,"X_train, y_train",sample_weight=sw_train
sklearn.metrics.brier_score_loss,"y_test, prob_pos_clf",sample_weight=sw_test
sklearn.metrics.brier_score_loss,"y_test, prob_pos_isotonic",sample_weight=sw_test
sklearn.metrics.brier_score_loss,"y_test, prob_pos_sigmoid",sample_weight=sw_test
sklearn.naive_bayes._BaseNB.predict_proba,X_test,
sklearn.calibration.CalibratedClassifierCV.predict_proba,X_test,
sklearn.calibration.CalibratedClassifierCV.predict_proba,X_test,
sklearn.datasets.make_classification,,"n_features=20, n_informative=2, n_redundant=2, n_samples=100000, random_state=42"
sklearn.linear_model.LogisticRegression,,
sklearn.naive_bayes.GaussianNB,,
sklearn.ensemble.RandomForestClassifier,,
sklearn.naive_bayes.GaussianNB.fit,"X_train, y_train",
sklearn.calibration.CalibrationDisplay.from_estimator,"clf, X_test, y_test","ax=ax_calibration_curve, color=**, marker=**, n_bins=10, name=name"
sklearn.svm._classes.LinearSVC.fit,"X, y",
sklearn.linear_model._base.LinearClassifierMixin.decision_function,X,
sklearn.linear_model._base.LinearClassifierMixin.decision_function,X,
sklearn.datasets.make_classification,,"n_features=20, n_informative=2, n_redundant=10, n_samples=100000, random_state=42"
sklearn.linear_model.LogisticRegression,,C=1.0
sklearn.naive_bayes.GaussianNB,,
sklearn.calibration.CalibratedClassifierCV,gnb,"cv=2, method=isotonic"
sklearn.calibration.CalibratedClassifierCV,gnb,"cv=2, method=sigmoid"
sklearn.linear_model.LogisticRegression,,C=1.0
sklearn.calibration.CalibratedClassifierCV,svc,"cv=2, method=isotonic"
sklearn.calibration.CalibratedClassifierCV,svc,"cv=2, method=sigmoid"
sklearn.calibration.CalibratedClassifierCV.fit,"X_train, y_train",
sklearn.calibration.CalibrationDisplay.from_estimator,"clf, X_test, y_test","ax=ax_calibration_curve, color=**, n_bins=10, name=name"
sklearn.calibration.CalibratedClassifierCV.fit,"X_train, y_train",
sklearn.naive_bayes._BaseNB.predict_proba,X_test,
sklearn.calibration.CalibratedClassifierCV.predict,X_test,
sklearn.calibration.CalibratedClassifierCV.fit,"X_train, y_train",
sklearn.calibration.CalibrationDisplay.from_estimator,"clf, X_test, y_test","ax=ax_calibration_curve, color=**, n_bins=10, name=name"
sklearn.calibration.CalibratedClassifierCV.fit,"X_train, y_train",
sklearn.calibration.CalibratedClassifierCV.predict,X_test,
sklearn.svm._classes.LinearSVC.fit,"X, y",
sklearn.linear_model._base.LinearClassifierMixin.decision_function,X,
sklearn.linear_model._base.LinearClassifierMixin.decision_function,X,
sklearn.datasets.make_blobs,,"centers=3, cluster_std=5.0, n_features=2, n_samples=2000, random_state=42"
sklearn.ensemble.RandomForestClassifier,,n_estimators=25
sklearn.ensemble._forest.BaseForest.fit,"X_train_valid, y_train_valid",
sklearn.ensemble.RandomForestClassifier,,n_estimators=25
sklearn.ensemble._forest.BaseForest.fit,"X_train, y_train",
sklearn.calibration.CalibratedClassifierCV,clf,"cv=prefit, method=sigmoid"
sklearn.calibration.CalibratedClassifierCV.fit,"X_valid, y_valid",
sklearn.ensemble._forest.ForestClassifier.predict_proba,X_test,
sklearn.calibration.CalibratedClassifierCV.predict_proba,X_test,
sklearn.metrics.log_loss,"y_test, clf_probs",
sklearn.metrics.log_loss,"y_test, cal_clf_probs",
sklearn.linear_model._ridge.Ridge.fit,"training_data, training_noisy_target",
sklearn.kernel_ridge.KernelRidge,,kernel=**
sklearn.kernel_ridge.KernelRidge.fit,"training_data, training_noisy_target",
sklearn.model_selection._search.RandomizedSearchCV,kernel_ridge,"n_iter=500, param_distributions=param_distributions, random_state=0"
sklearn.model_selection._search.BaseSearchCV.fit,"training_data, training_noisy_target",
sklearn.model_selection._search.RandomizedSearchCV,data,
sklearn.gaussian_process.GaussianProcessRegressor,,kernel=kernel
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"training_data, training_noisy_target",
sklearn.gaussian_process.GaussianProcessRegressor,,kernel=kernel
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"training_data, training_noisy_target",
sklearn.linear_model._ridge._BaseRidge,data,
sklearn.kernel_ridge.KernelRidge.predict,data,
sklearn.gaussian_process.kernels.WhiteKernel,0.1,
sklearn.kernel_ridge.KernelRidge,,
sklearn.gaussian_process.kernels.ExpSineSquared,"1.0, 5.0",periodicity_bounds=**
sklearn.gaussian_process.kernels.ExpSineSquared,"1.0, 5.0",periodicity_bounds=**
sklearn.gaussian_process.GaussianProcessRegressor,,"kernel=kernel, random_state=0"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train",
sklearn.gaussian_process.GaussianProcessRegressor,,"kernel=kernel, random_state=0"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train",
sklearn.gaussian_process.GaussianProcessRegressor,,"kernel=kernel, random_state=0"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train",
sklearn.gaussian_process.GaussianProcessRegressor,,"kernel=kernel, random_state=0"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train",
sklearn.gaussian_process.GaussianProcessRegressor,,"kernel=kernel, random_state=0"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train",
sklearn.gaussian_process._gpr.GaussianProcessRegressor.predict,X,return_std=True
sklearn.gaussian_process._gpr.GaussianProcessRegressor.sample_y,"X, n_samples",
sklearn.gaussian_process.kernels.RBF,,"length_scale=1.0, length_scale_bounds=**"
sklearn.gaussian_process.kernels.RationalQuadratic,,"alpha=0.1, alpha_bounds=**, length_scale=1.0"
sklearn.gaussian_process.kernels.ConstantKernel,"0.1, **",
sklearn.gaussian_process.kernels.Matern,,"length_scale=1.0, length_scale_bounds=**, nu=1.5"
sklearn.gaussian_process.kernels.DotProduct,,"sigma_0=1.0, sigma_0_bounds=**"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,**,
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,**,
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,**,
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,**,
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,**,
sklearn.gaussian_process.kernels.RBF,,length_scale=1.15
sklearn.gaussian_process._gpc.GaussianProcessClassifier.predict_proba,**,
sklearn.gaussian_process.GaussianProcessClassifier,,"kernel=kernel, warm_start=True"
sklearn.gaussian_process._gpc.GaussianProcessClassifier.log_marginal_likelihood,**,
sklearn.gaussian_process._gpc.GaussianProcessClassifier,,
sklearn.gaussian_process._gpc.GaussianProcessClassifier,,
sklearn.gaussian_process.GaussianProcessClassifier,,kernel=kernel
sklearn.gaussian_process._gpc.GaussianProcessClassifier.fit,"X, y",
sklearn.gaussian_process.kernels.ConstantKernel,"0.1, **",
sklearn.gaussian_process._gpc.GaussianProcessClassifier.predict_proba,xx,
sklearn.gaussian_process.GaussianProcessRegressor,,"alpha=0.0, kernel=kernel"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train",
sklearn.gaussian_process._gpr.GaussianProcessRegressor.predict,X,return_std=True
sklearn.gaussian_process.GaussianProcessRegressor,,"alpha=0.0, kernel=kernel"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train",
sklearn.gaussian_process._gpr.GaussianProcessRegressor.predict,X,return_std=True
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,,theta=**
sklearn.gaussian_process.kernels.RBF,,"length_scale=10.0, length_scale_bounds=**"
sklearn.gaussian_process.kernels.RBF,,"length_scale=0.1, length_scale_bounds=**"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,**,
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,**,
sklearn.gaussian_process._gpr.GaussianProcessRegressor.log_marginal_likelihood,**,
sklearn.gaussian_process.GaussianProcessClassifier,,"kernel=**, optimizer=None"
sklearn.gaussian_process._gpc.GaussianProcessClassifier.fit,"**, **",
sklearn.gaussian_process.GaussianProcessClassifier,,kernel=**
sklearn.gaussian_process._gpc.GaussianProcessClassifier.fit,"**, **",
sklearn.gaussian_process._gpc.GaussianProcessClassifier.log_marginal_likelihood,**,
sklearn.gaussian_process._gpc.GaussianProcessClassifier.log_marginal_likelihood,**,
sklearn.gaussian_process._gpc.GaussianProcessClassifier.predict_proba,**,
sklearn.gaussian_process._gpc.GaussianProcessClassifier.predict_proba,**,
sklearn.gaussian_process._gpc.GaussianProcessClassifier.log_marginal_likelihood,**,
sklearn.gaussian_process.kernels.CompoundKernel.theta,**,
sklearn.gaussian_process.GaussianProcessClassifier,,length_scale=1.0
sklearn.gaussian_process.GaussianProcessClassifier,,length_scale=1.0
sklearn.metrics.accuracy_score,"**, **",
sklearn.metrics.accuracy_score,"**, **",
sklearn.metrics.log_loss,"**, **",
sklearn.metrics.log_loss,"**, **",
sklearn.gaussian_process._gpc.GaussianProcessClassifier.log_marginal_likelihood,**,
sklearn.gaussian_process._gpc.GaussianProcessClassifier,**,
sklearn.gaussian_process._gpc.GaussianProcessClassifier,**,
sklearn.datasets.load_iris,,
sklearn.gaussian_process._gpc.GaussianProcessClassifier.predict_proba,**,
sklearn.gaussian_process.GaussianProcessClassifier,,kernel=kernel
sklearn.gaussian_process.GaussianProcessClassifier,,kernel=kernel
sklearn.datasets.fetch_openml,,"as_frame=True, data_id=41187, parser=pandas"
sklearn.gaussian_process.GaussianProcessRegressor,,"kernel=co2_kernel, normalize_y=False"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X, **",
sklearn.gaussian_process._gpr.GaussianProcessRegressor.predict,X_test,return_std=True
sklearn.gaussian_process.kernels.ExpSineSquared,,"length_scale=1.0, periodicity=1.0, periodicity_bounds=fixed"
sklearn.gaussian_process.kernels.RationalQuadratic,,"alpha=1.0, length_scale=1.0"
sklearn.gaussian_process.kernels.RBF,,length_scale=100.0
sklearn.gaussian_process.GaussianProcessRegressor,,"kernel=kernel, n_restarts_optimizer=9"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train",
sklearn.gaussian_process._gpr.GaussianProcessRegressor,X,return_std=True
sklearn.gaussian_process.GaussianProcessRegressor,,"alpha=**, kernel=kernel, n_restarts_optimizer=9"
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"X_train, y_train_noisy",
sklearn.gaussian_process._gpr.GaussianProcessRegressor,X,return_std=True
sklearn.gaussian_process.kernels.RBF,,"length_scale=1.0, length_scale_bounds=**"
sklearn.gaussian_process.GaussianProcessRegressor,,kernel=kernel
sklearn.gaussian_process._gpr.GaussianProcessRegressor.fit,"**, **",
sklearn.gaussian_process.GaussianProcessClassifier,kernel,
sklearn.gaussian_process._gpc.GaussianProcessClassifier.fit,"X_train, Y_train",
sklearn.preprocessing.StandardScaler,,
sklearn.linear_model.LogisticRegression,,"max_iter=10000, tol=0.1"
sklearn.pipeline.Pipeline,,steps=**
sklearn.datasets.load_digits,,return_X_y=True
sklearn.model_selection.GridSearchCV,"pipe, param_grid",n_jobs=2
sklearn.model_selection._search.BaseSearchCV.fit,"X_digits, y_digits",
sklearn.decomposition._pca.PCA.fit,X_digits,
sklearn.datasets.load_iris,,
sklearn.decomposition.PCA,,n_components=2
sklearn.feature_selection.SelectKBest,,k=1
sklearn.pipeline.FeatureUnion,**,
sklearn.svm.SVC,,kernel=linear
sklearn.pipeline.Pipeline,**,
sklearn.model_selection.GridSearchCV,pipeline,"param_grid=param_grid, verbose=10"
sklearn.model_selection._search.BaseSearchCV.fit,"X, y",
sklearn.pipeline.FeatureUnion,"X, y",
sklearn.datasets.fetch_20newsgroups,,"categories=categories, random_state=1, remove=**, return_X_y=True, subset=test"
sklearn.preprocessing.FunctionTransformer,subject_body_extractor,
sklearn.preprocessing.FunctionTransformer,text_stats,
sklearn.pipeline.Pipeline,**,verbose=True
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline.predict,X_test,
sklearn.compose.ColumnTransformer,**,transformer_weights=**
sklearn.svm.LinearSVC,,dual=False
sklearn.datasets.make_regression,,"n_samples=10000, noise=100, random_state=0"
sklearn.model_selection.train_test_split,"X, y",random_state=0
sklearn.linear_model._ridge.RidgeCV.fit,"X_train, y_train",
sklearn.linear_model._ridge.RidgeCV,X_test,
sklearn.compose._target.TransformedTargetRegressor,"X_train, y_train",
sklearn.compose._target.TransformedTargetRegressor,X_test,
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred_ridge","ax=ax0, kind=actual_vs_predicted, scatter_kwargs=**"
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred_ridge_with_trans_target","ax=ax1, kind=actual_vs_predicted, scatter_kwargs=**"
sklearn.datasets.fetch_openml,,"as_frame=True, name=house_prices, parser=pandas"
sklearn.model_selection.train_test_split,"X, y",random_state=1
sklearn.linear_model._ridge.RidgeCV.fit,"X_train, y_train",
sklearn.linear_model._ridge.RidgeCV,X_test,
sklearn.compose._target.TransformedTargetRegressor,"X_train, y_train",
sklearn.compose._target.TransformedTargetRegressor,X_test,
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred_ridge","ax=**, kind=actual_vs_predicted, scatter_kwargs=**"
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred_ridge_with_trans_target","ax=**, kind=actual_vs_predicted, scatter_kwargs=**"
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred_ridge","ax=**, kind=residual_vs_predicted, scatter_kwargs=**"
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred_ridge_with_trans_target","ax=**, kind=residual_vs_predicted, scatter_kwargs=**"
sklearn.linear_model._ridge.RidgeCV,,
