function,args,kwargs
matplotlib.pyplot.subplot,"1, 4, **",
matplotlib.pyplot.scatter,"**, **","c=**, cmap=**"
matplotlib.pyplot.axis,equal,
matplotlib.pyplot,off,
matplotlib.pyplot.subplots_adjust,,"bottom=0, left=0, right=1, top=0.83, wspace=0"
matplotlib.pyplot,**,size=17
matplotlib.pyplot.figure,,
matplotlib.pyplot.xlabel,n_init,
matplotlib.pyplot.ylabel,inertia,
matplotlib.pyplot.legend,"plots, legends",
matplotlib.pyplot.title,**,
matplotlib.pyplot.figure,,
matplotlib.pyplot.show,,
matplotlib.pyplot.errorbar,"n_init_range, **, **",fmt=format
matplotlib.pyplot.plot,"**, **, .",c=color
matplotlib.pyplot.plot,"**, **, o","markeredgecolor=k, markerfacecolor=color, markersize=6"
matplotlib.pyplot.title,"Example cluster allocation with a single random init
with MiniBatchKMeans",
matplotlib.pyplot.figure,1,
matplotlib.pyplot.clf,,
matplotlib.pyplot.imshow,Z,"aspect=auto, cmap=**, extent=**, interpolation=nearest, origin=lower"
matplotlib.pyplot.plot,"**, **, k.",markersize=2
matplotlib.pyplot.scatter,"**, **","color=w, linewidths=3, marker=x, s=169, zorder=10"
matplotlib.pyplot.title,"K-means clustering on the digits dataset (PCA-reduced data)
Centroids are marked with white cross",
matplotlib.pyplot.xlim,"x_min, x_max",
matplotlib.pyplot.ylim,"y_min, y_max",
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=2"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=2"
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **",c=y_pred
matplotlib.pyplot.title,Optimal Number of Clusters,
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **",c=y_pred
matplotlib.pyplot.title,"Unevenly Sized Blobs 
with several initializations",
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=1"
matplotlib.pyplot.show,,
matplotlib.pyplot.suptitle,Ground truth clusters,
matplotlib.pyplot.suptitle,Unexpected KMeans clusters,
matplotlib.pyplot.suptitle,Gaussian mixture clusters,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.imshow,rescaled_coins,cmap=**
matplotlib.pyplot.axis,off,
matplotlib.pyplot.show,,
matplotlib.pyplot.contour,**,colors=**
matplotlib.cm,n_clusters,
matplotlib.pyplot.scatter,"**, **",
matplotlib.pyplot.show,,
matplotlib.pyplot.title,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"**, **, o","markeredgecolor=k, markerfacecolor=**, markersize=14"
matplotlib.pyplot.plot,"**, **, o","markeredgecolor=k, markerfacecolor=**, markersize=6"
matplotlib.pyplot.title,Hierarchical Clustering Dendrogram,
matplotlib.pyplot.xlabel,Number of points in node (or index of point if no parenthesis).,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.gridspec.GridSpec,"2, 3",
matplotlib.pyplot.subplot,**,
matplotlib.pyplot.subplot,**,
matplotlib.pyplot.subplot,**,
matplotlib.pyplot.subplot,**,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,211,
matplotlib.pyplot.subplot,212,sharex=ax1
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.scatter,"**, **","color=navy, label=outer labeled, lw=0, marker=s, s=10"
matplotlib.pyplot.scatter,"**, **","color=c, label=inner labeled, lw=0, marker=s, s=10"
matplotlib.pyplot.scatter,"**, **","color=darkorange, label=unlabeled, marker=."
matplotlib.pyplot.legend,,"loc=center, scatterpoints=1, shadow=False"
matplotlib.pyplot.title,Raw data (2 classes=outer and inner),
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.scatter,"**, **","color=navy, label=outer learned, lw=0, marker=s, s=10"
matplotlib.pyplot.scatter,"**, **","color=c, label=inner learned, lw=0, marker=s, s=10"
matplotlib.pyplot.legend,,"loc=center, scatterpoints=1, shadow=False"
matplotlib.pyplot.title,Labels learned with Label Spreading (KNN),
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.subplots_adjust,,"bottom=0.03, hspace=0.85, left=0.2, right=0.9, top=0.9, wspace=0.2"
matplotlib.pyplot.show,,
matplotlib.pyplot.suptitle,Unlabeled points are colored white,y=0.1
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"3, 2, **",
matplotlib.pyplot.contourf,"xx, yy, Z",cmap=**
matplotlib.pyplot.axis,off,
matplotlib.pyplot.scatter,"**, **","c=colors, edgecolors=black"
matplotlib.pyplot.title,title,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.title,Data,
matplotlib.pyplot.figure,,
matplotlib.pyplot.plot,"**, r",label=**
matplotlib.pyplot.plot,"**, g","label=**, linewidth=3"
matplotlib.pyplot.plot,"**, b","label=**, linewidth=3"
matplotlib.pyplot.plot,"**, **, k","label=Empirical, linewidth=3"
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.xlabel,Instances sorted according to predicted probability (uncalibrated GNB),
matplotlib.pyplot.ylabel,P(y=1),
matplotlib.pyplot.legend,,loc=upper left
matplotlib.pyplot.title,Gaussian naive Bayes probabilities,
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **","alpha=0.5, c=**, edgecolor=k, label=**, s=**"
matplotlib.pyplot.figure,,figsize=**
matplotlib.gridspec.GridSpec,"4, 2",
matplotlib.pyplot.get_cmap,Dark2,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.gridspec.GridSpec,"4, 2",
matplotlib.pyplot.get_cmap,Dark2,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.gridspec.GridSpec,"4, 2",
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.plot,"**, **, ro","label=Class 1, ms=20"
matplotlib.pyplot.plot,"**, **, go","label=Class 2, ms=20"
matplotlib.pyplot.plot,"**, **, bo","label=Class 3, ms=20"
matplotlib.pyplot.plot,"**, **, k",label=Simplex
matplotlib.pyplot.annotate,"($\frac{1}{3}$, $\frac{1}{3}$, $\frac{1}{3}$)","arrowprops=**, horizontalalignment=center, verticalalignment=center, xy=**, xycoords=data, xytext=**"
matplotlib.pyplot.plot,"**, **, ko",ms=5
matplotlib.pyplot.annotate,"($\frac{1}{2}$, $0$, $\frac{1}{2}$)","arrowprops=**, horizontalalignment=center, verticalalignment=center, xy=**, xycoords=data, xytext=**"
matplotlib.pyplot.annotate,"($0$, $\frac{1}{2}$, $\frac{1}{2}$)","arrowprops=**, horizontalalignment=center, verticalalignment=center, xy=**, xycoords=data, xytext=**"
matplotlib.pyplot.annotate,"($\frac{1}{2}$, $\frac{1}{2}$, $0$)","arrowprops=**, horizontalalignment=center, verticalalignment=center, xy=**, xycoords=data, xytext=**"
matplotlib.pyplot.annotate,"($0$, $0$, $1$)","arrowprops=**, horizontalalignment=center, verticalalignment=center, xy=**, xycoords=data, xytext=**"
matplotlib.pyplot.annotate,"($1$, $0$, $0$)","arrowprops=**, horizontalalignment=center, verticalalignment=center, xy=**, xycoords=data, xytext=**"
matplotlib.pyplot.annotate,"($0$, $1$, $0$)","arrowprops=**, horizontalalignment=center, verticalalignment=center, xy=**, xycoords=data, xytext=**"
matplotlib.pyplot.grid,False,
matplotlib.pyplot.title,Change of predicted probabilities on test samples after sigmoid calibration,
matplotlib.pyplot.xlabel,Probability class 1,
matplotlib.pyplot.ylabel,Probability class 2,
matplotlib.pyplot.xlim,"**, 1.05",
matplotlib.pyplot.ylim,"**, 1.05",
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.plot,"**, **, k",label=Simplex
matplotlib.pyplot.grid,False,
matplotlib.pyplot.title,Learned sigmoid calibration map,
matplotlib.pyplot.xlabel,Probability class 1,
matplotlib.pyplot.ylabel,Probability class 2,
matplotlib.pyplot.xlim,"**, 1.05",
matplotlib.pyplot.ylim,"**, 1.05",
matplotlib.pyplot.show,,
matplotlib.pyplot.arrow,"**, **, **, **","color=**, head_width=0.01"
matplotlib.pyplot.plot,"**, **, k",alpha=0.2
matplotlib.pyplot.plot,"**, **, k",alpha=0.2
matplotlib.pyplot.plot,"**, **, k",alpha=0.2
matplotlib.pyplot.arrow,"**, **, **, **","color=**, head_width=0.01"
matplotlib.pyplot.plot,"**, **, k",alpha=0.2
matplotlib.pyplot.plot,"**, **, k",alpha=0.2
matplotlib.pyplot.plot,"**, **, k",alpha=0.2
matplotlib.pyplot.plot,"data, target","label=True signal, linewidth=2"
matplotlib.pyplot.scatter,"training_data, training_noisy_target","color=black, label=Noisy measurements"
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,"Illustration of the true generative process and 
noisy measurements available during training",
matplotlib.pyplot.plot,"data, target","label=True signal, linewidth=2"
matplotlib.pyplot.scatter,"training_data, training_noisy_target","color=black, label=Noisy measurements"
matplotlib.pyplot.plot,"data, **",label=Ridge regression
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,Limitation of a linear model such as ridge,
matplotlib.pyplot.plot,"data, target","label=True signal, linestyle=dashed, linewidth=2"
matplotlib.pyplot.scatter,"training_data, training_noisy_target","color=black, label=Noisy measurements"
matplotlib.pyplot.plot,"data, **","label=Kernel ridge, linestyle=dashdot, linewidth=2"
matplotlib.pyplot.legend,,loc=lower right
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,"Kernel ridge regression with an exponential sine squared
 kernel using default hyperparameters",
matplotlib.pyplot.plot,"data, target","label=True signal, linestyle=dashed, linewidth=2"
matplotlib.pyplot.scatter,"training_data, training_noisy_target","color=black, label=Noisy measurements"
matplotlib.pyplot.plot,"data, predictions_kr","label=Kernel ridge, linestyle=dashdot, linewidth=2"
matplotlib.pyplot.legend,,loc=lower right
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,"Kernel ridge regression with an exponential sine squared
 kernel using tuned hyperparameters",
matplotlib.pyplot.plot,"data, target","label=True signal, linestyle=dashed, linewidth=2"
matplotlib.pyplot.scatter,"training_data, training_noisy_target","color=black, label=Noisy measurements"
matplotlib.pyplot.plot,"data, predictions_kr","label=Kernel ridge, linestyle=dashdot, linewidth=2"
matplotlib.pyplot.plot,"data, mean_predictions_gpr","label=Gaussian process regressor, linestyle=dotted, linewidth=2"
matplotlib.pyplot.fill_between,"**, **, **","alpha=0.2, color=tab:green"
matplotlib.pyplot.legend,,loc=lower right
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,Comparison between kernel ridge and gaussian process regressor,
matplotlib.pyplot.plot,"data, target","label=True signal, linestyle=dashed, linewidth=2"
matplotlib.pyplot.scatter,"training_data, training_noisy_target","color=black, label=Noisy measurements"
matplotlib.pyplot.plot,"data, predictions_kr","label=Kernel ridge, linestyle=dashdot, linewidth=2"
matplotlib.pyplot.plot,"data, mean_predictions_gpr","label=Gaussian process regressor, linestyle=dotted, linewidth=2"
matplotlib.pyplot.fill_between,"**, **, **","alpha=0.2, color=tab:green"
matplotlib.pyplot.legend,,loc=lower right
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,Effect of using a radial basis function kernel,
matplotlib.pyplot.subplots,,"figsize=**, nrows=2, sharex=True, sharey=True"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,,"figsize=**, nrows=2, sharex=True, sharey=True"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,,"figsize=**, nrows=2, sharex=True, sharey=True"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,,"figsize=**, nrows=2, sharex=True, sharey=True"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,,"figsize=**, nrows=2, sharex=True, sharey=True"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"1, 2, **",
matplotlib.pyplot.contour,"xx, yy, Z","colors=**, levels=**, linewidths=2"
matplotlib.pyplot.scatter,"**, **","c=Y, cmap=**, edgecolors=**, s=30"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.axis,**,
matplotlib.pyplot.colorbar,image,
matplotlib.pyplot.title,**,fontsize=12
matplotlib.pyplot.figure,1,
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.xlabel,$x_1$,
matplotlib.pyplot.ylabel,$x_2$,
matplotlib.pyplot.imshow,y_prob,"alpha=0.8, cmap=**, extent=**"
matplotlib.colors.Normalize,,"vmax=0.9, vmin=0.0"
matplotlib.pyplot.colorbar,cax,"norm=norm, ticks=**"
matplotlib.pyplot.clim,"0, 1",
matplotlib.pyplot.plot,"**, **, r.",markersize=12
matplotlib.pyplot.plot,"**, **, b.",markersize=12
matplotlib.pyplot.contour,"x1, x2, y_true, **","colors=k, linestyles=dashdot"
matplotlib.pyplot.contour,"x1, x2, y_prob, **","colors=b, linestyles=solid"
matplotlib.pyplot.clabel,cs,fontsize=11
matplotlib.pyplot.contour,"x1, x2, y_prob, **","colors=k, linestyles=dashed"
matplotlib.pyplot.clabel,cs,fontsize=11
matplotlib.pyplot.contour,"x1, x2, y_prob, **","colors=r, linestyles=solid"
matplotlib.pyplot.clabel,cs,fontsize=11
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"X, y",label=Expected signal
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,X,
matplotlib.pyplot.ylabel,y,
matplotlib.pyplot.plot,"X, y",label=Expected signal
matplotlib.pyplot.scatter,,"alpha=0.4, color=black, label=Observations, x=**, y=y_train"
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,X,
matplotlib.pyplot.ylabel,y,
matplotlib.pyplot.plot,"X, y",label=Expected signal
matplotlib.pyplot.scatter,,"alpha=0.4, color=black, label=Observations, x=**, y=y_train"
matplotlib.pyplot.errorbar,"X, y_mean, y_std",
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,X,
matplotlib.pyplot.ylabel,y,
matplotlib.pyplot.title,**,fontsize=8
matplotlib.pyplot.plot,"X, y",label=Expected signal
matplotlib.pyplot.scatter,,"alpha=0.4, color=black, label=Observations, x=**, y=y_train"
matplotlib.pyplot.errorbar,"X, y_mean, y_std",
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,X,
matplotlib.pyplot.ylabel,y,
matplotlib.pyplot.title,**,fontsize=8
matplotlib.pyplot.contour,"length_scale_grid, noise_level_grid, **","levels=level, norm=**"
matplotlib.pyplot.colorbar,,
matplotlib.pyplot.xscale,log,
matplotlib.pyplot.yscale,log,
matplotlib.pyplot.xlabel,Length-scale,
matplotlib.pyplot.ylabel,Noise-level,
matplotlib.pyplot.title,Log-marginal-likelihood,
matplotlib.pyplot.show,,
matplotlib.colors.LogNorm,,"vmax=vmax, vmin=vmin"
matplotlib.pyplot.figure,,
matplotlib.pyplot.scatter,"**, **","c=k, edgecolors=**, label=Train data"
matplotlib.pyplot.scatter,"**, **","c=g, edgecolors=**, label=Test data"
matplotlib.pyplot.plot,"X_, **, r",label=**
matplotlib.pyplot.plot,"X_, **, b",label=**
matplotlib.pyplot.xlabel,Feature,
matplotlib.pyplot.ylabel,Class 1 probability,
matplotlib.pyplot.xlim,"0, 5",
matplotlib.pyplot.ylim,"**, 1.5",
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.figure,,
matplotlib.pyplot.plot,"**, **, ko",zorder=10
matplotlib.pyplot.plot,"**, **, ko",zorder=10
matplotlib.pyplot.pcolor,"Theta0, Theta1, LML",
matplotlib.pyplot.xscale,log,
matplotlib.pyplot.yscale,log,
matplotlib.pyplot.colorbar,,
matplotlib.pyplot.xlabel,Magnitude,
matplotlib.pyplot.ylabel,Length-scale,
matplotlib.pyplot.title,Log-marginal-likelihood,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"1, 2, **",
matplotlib.pyplot.imshow,Z,"extent=**, origin=lower"
matplotlib.pyplot.scatter,"**, **","c=**, edgecolors=**"
matplotlib.pyplot.xlabel,Sepal length,
matplotlib.pyplot.ylabel,Sepal width,
matplotlib.pyplot.xlim,"**, **",
matplotlib.pyplot.ylim,"**, **",
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.title,**,
matplotlib.pyplot,,
matplotlib.pyplot,,
matplotlib.pyplot,,
matplotlib.pyplot,,
matplotlib.pyplot.ylabel,CO$_2$ concentration (ppm),
matplotlib.pyplot.title,Raw air samples measurements from the Mauna Loa Observatory,
matplotlib.pyplot.ylabel,Monthly average of CO$_2$ concentration (ppm),
matplotlib.pyplot.title,"Monthly average of air samples measurements
from the Mauna Loa Observatory",
matplotlib.pyplot.plot,"X, y","color=black, label=Measurements, linestyle=dashed"
matplotlib.pyplot.plot,"X_test, mean_y_pred","alpha=0.4, color=tab:blue, label=Gaussian process"
matplotlib.pyplot.fill_between,"**, **, **","alpha=0.2, color=tab:blue"
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,Year,
matplotlib.pyplot.ylabel,Monthly average of CO$_2$ concentration (ppm),
matplotlib.pyplot.title,"Monthly average of air samples measurements
from the Mauna Loa Observatory",
matplotlib.pyplot.plot,"X, y","label=$f(x) = x \sin(x)$, linestyle=dotted"
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,$x$,
matplotlib.pyplot.ylabel,$f(x)$,
matplotlib.pyplot.title,True generative process,
matplotlib.pyplot.plot,"X, y","label=$f(x) = x \sin(x)$, linestyle=dotted"
matplotlib.pyplot.scatter,"X_train, y_train",label=Observations
matplotlib.pyplot.plot,"X, mean_prediction",label=Mean prediction
matplotlib.pyplot.fill_between,"**, **, **","alpha=0.5, label=95% confidence interval"
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,$x$,
matplotlib.pyplot.ylabel,$f(x)$,
matplotlib.pyplot.title,Gaussian process regression on noise-free dataset,
matplotlib.pyplot.plot,"X, y","label=$f(x) = x \sin(x)$, linestyle=dotted"
matplotlib.pyplot.errorbar,"X_train, y_train_noisy, noise_std","color=tab:blue, label=Observations, linestyle=None, marker=., markersize=10"
matplotlib.pyplot.plot,"X, mean_prediction",label=Mean prediction
matplotlib.pyplot.fill_between,"**, **, **","alpha=0.5, color=tab:orange, label=95% confidence interval"
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,$x$,
matplotlib.pyplot.ylabel,$f(x)$,
matplotlib.pyplot.title,Gaussian process regression on a noisy dataset,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.imshow,**,
matplotlib.pyplot.xticks,"**, X",
matplotlib.pyplot.yticks,"**, X",
matplotlib.pyplot.title,Sequence similarity under the kernel,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.bar,"**, **","color=b, label=prediction"
matplotlib.pyplot.bar,"training_idx, **","alpha=1, color=r, label=training, width=0.2"
matplotlib.pyplot.xticks,"**, X",
matplotlib.pyplot.title,Regression on sequences,
matplotlib.pyplot.legend,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.scatter,"**, **","edgecolor=none, facecolor=**, label=training, marker=o, s=100"
matplotlib.pyplot.scatter,"**, **","edgecolor=none, facecolor=r, label=truth, marker=o, s=100"
matplotlib.pyplot.scatter,"**, **","facecolor=b, label=prediction, linewidth=2, marker=x, s=100"
matplotlib.pyplot.xticks,"**, **",
matplotlib.pyplot.yticks,"**, **",
matplotlib.pyplot.title,Classification on sequences,
matplotlib.pyplot.legend,,
matplotlib.pyplot.show,,
matplotlib.pyplot.xticks,X,
matplotlib.pyplot.yticks,X,
matplotlib.pyplot.bar,X,
matplotlib.pyplot.xticks,X,
matplotlib.pyplot.xticks,X_test,
matplotlib.pyplot.subplots,,"figsize=**, nrows=2, sharex=True"
matplotlib.pyplot.xlim,"**, 70",
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot,"1, 2",
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,"1, 2",sharey=True
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot,"1, 2",
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,"2, 2","figsize=**, sharey=row"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,,"bottom=0.05, left=0.05, right=0.95, top=0.9"
matplotlib.pyplot.subplot,321,
matplotlib.pyplot.title,"One informative feature, one cluster per class",fontsize=small
matplotlib.pyplot.scatter,"**, **","c=Y1, edgecolor=k, marker=o, s=25"
matplotlib.pyplot.subplot,322,
matplotlib.pyplot.title,"Two informative features, one cluster per class",fontsize=small
matplotlib.pyplot.scatter,"**, **","c=Y1, edgecolor=k, marker=o, s=25"
matplotlib.pyplot.subplot,323,
matplotlib.pyplot.title,"Two informative features, two clusters per class",fontsize=small
matplotlib.pyplot.scatter,"**, **","c=Y2, edgecolor=k, marker=o, s=25"
matplotlib.pyplot.subplot,324,
matplotlib.pyplot.title,"Multi-class, two informative features, one cluster",fontsize=small
matplotlib.pyplot.scatter,"**, **","c=Y1, edgecolor=k, marker=o, s=25"
matplotlib.pyplot.subplot,325,
matplotlib.pyplot.title,Three blobs,fontsize=small
matplotlib.pyplot.scatter,"**, **","c=Y1, edgecolor=k, marker=o, s=25"
matplotlib.pyplot.subplot,326,
matplotlib.pyplot.title,Gaussian divided into three quantiles,fontsize=small
matplotlib.pyplot.scatter,"**, **","c=Y1, edgecolor=k, marker=o, s=25"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,"1, 2","figsize=**, sharex=row, sharey=row"
matplotlib.pyplot.subplots_adjust,,bottom=0.15
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,2,figsize=**
matplotlib.pyplot.clf,,
matplotlib.pyplot.scatter,"**, **","c=y, cmap=**, edgecolor=k"
matplotlib.pyplot.xlabel,Sepal length,
matplotlib.pyplot.ylabel,Sepal width,
matplotlib.pyplot.xlim,"x_min, x_max",
matplotlib.pyplot.ylim,"y_min, y_max",
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.figure,1,figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,1,figsize=**
matplotlib.pyplot.imshow,**,"cmap=**, interpolation=nearest"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=2, sharex=row, sharey=row"
matplotlib.pyplot.plot,"X, y_true_mean","color=black, label=True mean, linestyle=dashed"
matplotlib.pyplot.scatter,"**, **","alpha=0.5, color=black, label=Outside interval, marker=+"
matplotlib.pyplot.scatter,"**, **","alpha=0.5, color=black, label=Inside interval"
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,x,
matplotlib.pyplot.ylabel,y,
matplotlib.pyplot.title,Quantiles of heteroscedastic Normal distributed target,
matplotlib.pyplot.plot,"X, y_true_mean","color=black, label=True mean, linestyle=dashed"
matplotlib.pyplot.scatter,"**, **","alpha=0.5, color=black, label=Outside interval, marker=+"
matplotlib.pyplot.scatter,"**, **","alpha=0.5, color=black, label=Inside interval"
matplotlib.pyplot.legend,,
matplotlib.pyplot.xlabel,x,
matplotlib.pyplot.ylabel,y,
matplotlib.pyplot.title,Quantiles of asymmetric Pareto distributed target,
matplotlib.pyplot.plot,"X, y_pred",label=**
matplotlib.pyplot.plot,"X, y_pred",label=**
matplotlib.pyplot.scatter,"diabetes_X_test, diabetes_y_test",color=black
matplotlib.pyplot.plot,"diabetes_X_test, diabetes_y_pred","color=blue, linewidth=3"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,"1, 2",figsize=**
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **","color=yellowgreen, label=Inliers, marker=."
matplotlib.pyplot.scatter,"**, **","color=gold, label=Outliers, marker=."
matplotlib.pyplot.plot,"line_X, line_y","color=navy, label=Linear regressor, linewidth=lw"
matplotlib.pyplot.plot,"line_X, line_y_ransac","color=cornflowerblue, label=RANSAC regressor, linewidth=lw"
matplotlib.pyplot.legend,,loc=lower right
matplotlib.pyplot.xlabel,Input,
matplotlib.pyplot.ylabel,Response,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,"3, 3",
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,121,
matplotlib.pyplot,,
matplotlib.pyplot.xlabel,alpha,
matplotlib.pyplot.ylabel,weights,
matplotlib.pyplot.title,Ridge coefficients as a function of the regularization,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.subplot,122,
matplotlib.pyplot,,
matplotlib.pyplot.xlabel,alpha,
matplotlib.pyplot.ylabel,error,
matplotlib.pyplot.title,Coefficient error as a function of the regularization,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=1, sharey=True"
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=1"
matplotlib.pyplot.show,,
matplotlib.pyplot.contour,"X1, X2, Z, levels","colors=colors, linestyles=linestyles"
matplotlib.pyplot.scatter,"**, **","c=Y, cmap=**, edgecolor=black, s=20"
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2"
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,1,
matplotlib.pyplot.xlabel,-Log(alpha),
matplotlib.pyplot.ylabel,coefficients,
matplotlib.pyplot.title,Lasso and Elastic-Net Paths,
matplotlib.pyplot.legend,"**, **",loc=lower left
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.figure,2,
matplotlib.pyplot.xlabel,-Log(alpha),
matplotlib.pyplot.ylabel,coefficients,
matplotlib.pyplot.title,Lasso and positive Lasso,
matplotlib.pyplot.legend,"**, **",loc=lower left
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.figure,3,
matplotlib.pyplot.xlabel,-Log(alpha),
matplotlib.pyplot.ylabel,coefficients,
matplotlib.pyplot.title,Elastic-Net and positive Elastic-Net,
matplotlib.pyplot.legend,"**, **",loc=lower left
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"neg_log_alphas_lasso, coef_l",c=c
matplotlib.pyplot.plot,"neg_log_alphas_enet, coef_e","c=c, linestyle=--"
